,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Slope From SSURGO,Slope From USGS Elevation Data,Bulk Density,Slope Length/USLE L Factor,Deepest Soil Horizon Layer,Organic Matter,pH,Saturated Hydraulic Conductivity,7-Day Maximum Precipitation,Runoff,Erodibility,Depth to Upper Horizon Boundary,Total Depth of Soil,2-Month Average Precipitation,62-Day Average Precipitation,Available Water Capacity,Brooks-Corey Theta 33,Hydrologic Group,Longitude,Latitude,Stability,Saturation Difference after Precipitation,Wetting Front,Runoff_CN,event_date,max_1_day_prcp,max_3_day_prcp,max_7_day_prcp,max_14_day_prcp,avg_30_day_prcp,avg_60_day_prcp,avg_90_day_prcp,avg_365_day_prcp,max_1_day_prcp_mean_flux,max_3_day_prcp_mean_flux,max_7_day_prcp_mean_flux,max_14_day_prcp_mean_flux,avg_30_day_prcp_mean_flux,avg_60_day_prcp_mean_flux,avg_90_day_prcp_mean_flux,avg_365_day_prcp_mean_flux,Runoff_CN_Best,max_1_day_prcp_mean_flux_nc,max_3_day_prcp_mean_flux_nc,max_7_day_prcp_mean_flux_nc,max_14_day_prcp_mean_flux_nc,avg_30_day_prcp_mean_flux_nc,avg_60_day_prcp_mean_flux_nc,avg_90_day_prcp_mean_flux_nc,avg_365_day_prcp_mean_flux_nc
13,13,13,336,336,336,10.0,32.594573974609375,1.52,40.0,2.0,0.5,5.3,28.0,0.0,,2.0,0.0,13.0,169.0,5.719047619047618,0.13,16.8,2.0,-82.108744,34.575597,1.0,9.699999,203.0,,2010-01-08,0.0,0.0,0.0,40.9,3.551612903225806,5.90655737704918,5.117582417582418,3.493169398907104,1.2688486e-07,2.448109e-07,0.0006044212,0.0006044212,9.616407456179911e-05,6.608758084961624e-05,5.527368398159198e-05,4.8076759823986205e-05,0.0,0.0,0.0,3.0182989576132968e-05,6.257500353967771e-05,3.532785194693133e-05,5.325520396581851e-05,4.581671237247065e-05,4.4812390115112066e-05
14,14,14,683,683,683,30.0,81.97400665283203,1.2,,1.0,5.5,5.6,3.0,18.5,,,0.0,23.0,148.33333333333334,5.287301587301587,0.19,31.8,4.0,-123.0521,44.9258,0.0,11.0,,,2010-01-13,14.7,14.7,14.7,31.2,7.40967741935484,5.31311475409836,5.264835164835165,2.350819672131147,0.00012971007,0.00012971007,0.00012971007,0.00012971007,5.534192313710399e-05,4.481308584709993e-05,7.039556833331696e-05,4.216071280975998e-05,,0.0003691546153277159,0.0001926959230331704,8.751305722398683e-05,4.375652861199342e-05,6.735543865943328e-05,8.582753798691556e-05,7.248143083415926e-05,4.14616588386707e-05
15,15,15,1012,1012,1012,3.0,64.79369354248047,1.4,,1.0,1.25,6.7,0.91,21.6,,,38.0,74.0,224.26666666666668,8.258730158730158,0.16,32.4,6.0,-123.049734,44.929589,0.0,7.100002,,,2010-01-13,14.7,14.7,14.7,31.2,7.40967741935484,5.31311475409836,5.264835164835165,2.350819672131147,0.00012971007,0.00012971007,0.00012971007,0.00012971007,5.534192313710399e-05,4.481308584709993e-05,7.039556833331696e-05,4.216071280975998e-05,,0.0003691546153277159,0.0001926959230331704,8.751305722398683e-05,4.375652861199342e-05,6.735543865943328e-05,8.582753798691556e-05,7.248143083415926e-05,4.14616588386707e-05
16,16,16,395,395,395,1.0,5.198605537414551,1.58,30.0,1.0,1.5,6.5,9.0,0.3,4.0,1.0,0.0,15.0,0.0,0.0222222222222222,0.13,21.3,6.0,-96.439334,32.104199,1.0,9.9,,0.0,2010-01-19,0.0,0.3,0.3,0.3,0.0142857142857142,0.0414634146341463,1.1153846153846152,1.248109965635739,8.388246e-05,8.388246e-05,8.388246e-05,0.00017458742,2.8428918500222253e-05,3.84425702701045e-05,3.1461430624331647e-05,2.097193496785314e-05,0.0,6.384304288076237e-05,2.1281013687257655e-05,2.466543264745269e-05,1.2332716323726345e-05,1.3976614354760386e-05,2.422001307422761e-05,4.9312697228742763e-05,3.960382309742272e-05
17,17,17,852,852,852,8.0,85.91175079345703,1.7,84.0,4.0,0.25,6.2,0.92,17.3,5.0,1.0,66.0,104.0,73.0,2.2603174603174607,0.08,30.4,5.0,-80.0176,40.4381,0.0,7.9,,0.0,2010-01-25,22.1,22.1,22.1,22.1,2.464516129032258,2.7,2.1296703296703297,2.3224043715847,9.773232e-07,9.773232e-07,4.758742e-06,0.00017123278,3.587579786173597e-05,4.062188522845485e-05,4.383732987200315e-05,4.247559315829802e-05,0.87007921,2.903645690821577e-05,1.2128344678785652e-05,6.080705861677416e-05,4.9623118684394285e-05,3.794933218159713e-05,3.067159923375584e-05,2.7568839868763462e-05,3.518608718877658e-05
18,18,18,349,349,349,4.0,13.318302154541016,1.42,150.0,2.0,2.0,6.5,9.17,0.0,5.0,1.0,0.0,23.0,0.0,0.1809523809523809,0.18,25.8,5.0,-84.467415,42.124466,1.0,15.0,30.0,0.0,2010-01-29,0.0,0.0,0.0,0.0,0.0,0.5638888888888888,0.5887096774193549,1.635689045936396,1.9865802e-09,6.8488214e-07,6.8488214e-07,1.0921938e-05,2.1663354213785045e-05,2.701563432631077e-05,2.69233250974314e-05,2.976145945581852e-05,0.0,0.0,1.5367642845376395e-05,1.1990712664555758e-05,2.6705904019763693e-05,2.5830522645264864e-05,2.158439383492805e-05,2.4197033781092614e-05,3.415769606363028e-05
19,19,19,115,115,115,2.0,2.4632763862609863,1.35,,2.0,6.0,5.1,28.0,0.0,0.0,1.0,0.0,33.0,0.0,0.4412698412698412,0.14,30.7,3.0,-79.446028,34.524632,1.0,14.2,200.0,0.0,2010-01-31,0.0,0.0,12.5,26.7,2.1,2.3614035087719296,2.270731707317073,1.684036144578313,4.111883e-10,5.668425e-06,0.00011657497,0.00011657497,6.726370416323412e-05,6.656143481037218e-05,6.015267455220929e-05,5.346999752572884e-05,0.0,0.0,4.6038916480029e-05,4.33800378232263e-05,3.8962793041719124e-05,2.700360164453741e-05,2.688422864594031e-05,3.365398879395798e-05,3.733637640834786e-05
20,20,20,206,206,206,40.0,69.46340942382812,1.45,15.0,2.0,1.0,5.5,6.0,0.0,4.0,1.0,15.0,33.0,0.0,0.0047619047619047,0.13,19.5,4.0,-93.131329,35.361632,1.0,,,0.0,2010-02-04,0.0,0.0,0.6,12.6,0.7416666666666667,0.3955555555555555,0.3579710144927536,1.30355871886121,9.160576e-09,7.165346e-07,0.00019152116,0.00019152116,3.2941904776897184e-05,5.574487716340517e-05,4.308092303426876e-05,3.4982255772063066e-05,0.0,0.0001042944350047037,4.950756920152344e-05,7.713307422818616e-05,4.831757541978732e-05,3.4487842640373856e-05,2.7500556825543754e-05,3.683813338284381e-05,3.8098907680250704e-05
21,21,21,376,376,376,2.0,11.255782127380373,1.5,,2.0,1.25,5.3,92.0,0.0,1.0,1.0,0.0,15.0,0.0,0.0238095238095238,0.06,12.0,2.0,-80.841525,33.189424,1.0,6.9,200.0,0.0,2010-02-22,11.5,11.5,11.5,11.5,0.9904761904761904,1.0711111111111111,1.5318840579710142,1.157638888888889,3.04212e-07,3.533285e-07,3.533285e-07,0.0003512887,3.057081457521455e-05,4.01574081992949e-05,5.8402136311536136e-05,5.028827946822243e-05,0.0,0.0,0.0,1.207538753078552e-05,7.141798414522782e-05,7.599828677484766e-05,5.468073868541978e-05,4.215780063532293e-05,4.385720967547968e-05
22,22,22,945,945,945,35.0,63.926307678222656,1.27,,2.0,2.5,7.8,0.92,0.3,5.0,0.0,0.0,21.0,0.0,0.0095238095238095,0.16,41.6,4.0,-117.8395,34.0688,0.0,,,0.0,2010-02-27,55.0,55.0,55.0,55.0,4.255172413793103,3.4277777777777776,2.332098765432099,0.5421203438395416,1.2099232e-06,1.464892e-05,0.00032865212,0.00032865212,3.047987863362e-05,2.6369718131391536e-05,2.032740640872749e-05,7.816012477416577e-06,2.1653555,0.0,0.0,4.977423941454617e-06,5.8989189710700884e-05,2.7528289137990214e-05,3.312567787361331e-05,2.479489558027126e-05,9.30836540646851e-06
23,23,23,561,561,561,2.0,1.2389096021652222,1.45,,2.0,3.5,4.5,28.0,5.8,5.0,1.0,0.0,18.0,107.13333333333333,3.7031746031746033,0.13,21.4,3.0,-76.991624,35.141717,1.0,8.799999,30.0,0.0,2010-03-23,5.6,5.6,5.8,14.0,2.7032258064516124,3.5131147540983605,4.054945054945055,3.8390710382513658,1.0915301e-06,1.0915301e-06,0.00041165625,0.00041165625,4.91950603232506e-05,4.482350937127526e-05,5.397127476240557e-05,5.886574127931604e-05,0.2204725599999999,0.0,1.967592652363237e-06,8.432539857494703e-07,4.2162699287473515e-07,3.258848300902173e-05,4.783226904692128e-05,4.002290006610565e-05,3.482291504042223e-05
24,24,24,137,137,137,6.0,1.7419990301132202,1.45,,1.0,4.5,6.7,9.0,0.0,,,0.0,28.0,26.7,0.9888888888888888,0.21,27.6,2.0,-97.150457,45.826577,1.0,12.9,,,2010-03-30,0.0,0.0,0.0,0.0,1.3129032258064517,1.077049180327869,1.034065934065934,1.8005540166204983,2.8935005e-05,2.8935005e-05,2.8935005e-05,3.1163017e-05,5.958006499816971e-06,1.0760719081244556e-05,8.813303844736404e-06,1.1506539922352092e-05,0.0,0.0,0.0,1.3305833590493421e-06,3.325918078189716e-05,1.580664684297517e-05,1.251334288099315e-05,1.062163028109353e-05,1.623033676878549e-05
25,25,25,720,720,720,35.0,55.5528564453125,1.36,61.0,2.0,9.0,5.8,50.0,23.4,,,0.0,18.0,91.66666666666669,3.3825396825396834,0.1,19.6,0.0,-122.3667,47.6261,0.0,6.5,24.0,,2010-04-05,2.8,19.1,23.4,23.4,3.870967741935484,3.454098360655738,3.769230769230769,2.865846994535519,9.728753e-06,4.7416346e-05,0.00034241244,0.00034241244,4.214541430333757e-05,3.873744431366561e-05,3.62656952565544e-05,3.076728692125077e-05,,2.050204602710437e-05,2.00049744307762e-05,2.4323218895005994e-05,1.8145592548535205e-05,1.8502660168451257e-05,2.066840352199506e-05,2.6853051167563535e-05,2.5906439987011254e-05
26,26,26,243,243,243,9.0,41.07023239135742,1.45,,4.0,1.0,8.1,7.7,0.0,3.0,,14.0,55.0,0.0,0.0,0.17,30.0,2.0,-101.53335,48.067557,1.0,11.8,,0.0,2010-04-11,0.0,0.0,0.0,0.0,0.0642857142857143,0.036734693877551,0.0369230769230769,0.8992957746478873,1.2822495e-05,1.2822495e-05,0.000345204,0.000345204,2.067158033149009e-05,1.3208718477627558e-05,9.855429487236252e-06,1.1341863623218788e-05,0.0,0.0,0.0,3.625419776653871e-05,2.0732733901240863e-05,2.026378751907032e-05,1.121344121202128e-05,9.628425686969422e-06,1.1415109838708304e-05
27,27,27,208,208,208,2.0,7.020512580871582,1.62,75.0,4.0,0.25,5.3,9.0,0.0,,1.0,28.0,53.0,0.0,0.2095238095238095,0.08,26.1,3.0,-79.014172,34.398943,1.0,7.4,203.0,,2010-04-19,0.0,0.0,0.0,0.0,0.2833333333333333,0.4127659574468085,0.3176470588235294,0.9983221476510068,4.3411495e-07,8.62512e-05,9.729934e-05,0.00012841934,2.593233385169469e-05,3.5797844432493964e-05,3.80365834040534e-05,4.871526505454569e-05,0.0,0.0,3.0781350233155536e-06,1.3192008054829785e-06,2.9249156796140596e-05,2.8065211154171266e-05,4.024444569949992e-05,4.944383181282319e-05,4.2586863855831325e-05
28,28,28,73,73,73,1.0,31.50546264648437,1.54,30.0,4.0,0.3,6.7,2.7,2.3,0.0,1.0,56.0,152.0,33.0,0.9063492063492062,0.18,33.9,6.0,-98.931504,38.019,1.0,9.7,,0.0,2010-04-28,0.0,1.8,2.3,10.2,0.8548387096774195,0.9360655737704916,0.9923076923076922,1.7191256830601094,8.991609e-12,1.9947716e-05,1.9947716e-05,1.9947716e-05,5.150159706639463e-06,2.104497264380453e-05,1.8938461349198387e-05,1.5640529874692777e-05,0.0,0.0,1.7678928998066112e-05,7.576683856314048e-06,3.788341928157024e-06,6.048139312042622e-06,7.453080343111651e-06,1.1081031516368967e-05,1.0838040907401592e-05
29,29,29,544,544,544,2.0,3.998159646987915,1.7,61.0,5.0,0.2,7.6,375.0,0.0,1.0,,79.0,200.0,0.0,0.0126984126984126,0.03,8.0,0.0,-101.045864,48.256994,1.0,7.2,,0.0,2010-05-13,0.0,0.0,3.2,3.2,0.8759999999999999,0.5,0.3561643835616438,0.885512367491166,3.807328e-09,2.1282283e-06,0.000116193696,0.000116193696,9.57127046211866e-06,1.3658427373737437e-05,1.086481195752746e-05,1.1015688807470506e-05,0.0,0.0,0.0,0.0,0.0,6.025721177138621e-06,1.1476319741632324e-05,8.343521585629787e-06,9.28149984247284e-06
30,30,30,328,328,328,2.0,29.11077117919922,1.18,,1.0,5.0,6.7,9.0,11.2,,,0.0,36.0,76.66666666666667,1.995238095238096,0.21,30.6,2.0,-99.274121,43.604255,1.0,15.4,22.0,,2010-05-23,11.2,11.2,11.2,20.1,3.080645161290322,2.0606557377049177,1.6857142857142855,1.675068493150685,3.528312e-06,1.1046226e-05,1.1046226e-05,7.763034e-05,1.174267353098852e-05,1.801269850501998e-05,1.3563733664415595e-05,1.396129091096731e-05,,0.00047695409739390016,0.00019848976808134466,8.506704762112349e-05,5.2094863349338993e-05,5.379454159992747e-05,3.017875860678032e-05,2.9039465516689233e-05,1.9524157323758118e-05
31,31,31,733,733,733,80.0,78.5837173461914,1.0,20.0,2.0,3.0,4.0,92.0,,5.0,1.0,3.0,10.0,,0.0,0.1,11.5,0.0,-81.8917,37.755,0.0,29.1,203.0,0.0,2010-06-13,,,,,,,,,8.71525e-06,2.4979783e-05,0.00016357475,0.0006112819,6.400900789655939e-05,5.555970113260427e-05,4.855059141494523e-05,5.159774542504796e-05,0.0,0.0,4.502790488913888e-06,4.588245792547241e-05,7.355091656791046e-05,9.482185851084068e-05,5.853711627423763e-05,5.2935145504307e-05,4.901629654341377e-05
32,32,32,145,145,145,2.0,17.597240447998047,1.5,61.0,3.0,0.15,5.0,92.0,21.8,1.0,1.0,23.0,66.0,120.43333333333332,3.487301587301587,0.1,13.2,0.0,-83.855102,31.432269,1.0,9.0,200.0,0.0,2010-06-15,21.8,21.8,21.8,33.0,2.9903225806451608,3.6016393442622947,3.007692307692308,3.297267759562841,2.3624075e-07,4.7268693e-07,0.00018569497,0.00018569497,2.594804141563828e-05,3.6884449237975725e-05,4.400008025247193e-05,5.2416594120757854e-05,0.0,0.0,7.696089596720412e-06,7.039153570076451e-05,4.7856960009085014e-05,2.8435342755983584e-05,2.11504302569665e-05,1.7909118469106033e-05,3.770912007894367e-05
33,33,33,236,236,236,2.0,15.573075294494627,1.65,200.0,4.0,1.5,4.5,91.74,0.0,,1.0,66.0,86.0,0.0,0.2269841269841269,0.05,9.1,1.0,-75.253979,39.412151,1.0,3.5,203.0,,2010-07-01,0.0,0.0,0.0,10.6,0.7857142857142857,1.53921568627451,1.3302631578947368,2.1578397212543554,2.5119143e-05,2.5119143e-05,0.00024883793,0.00024883793,6.439341253966224e-05,4.428084452007038e-05,4.054071722486331e-05,4.582986582218116e-05,0.0,4.634330980479717e-05,2.2632872060057707e-05,2.1231780920061283e-05,1.0615890460030641e-05,1.9536610125214793e-05,2.2916266971151344e-05,2.2859105229144916e-05,3.219251811970025e-05
34,34,34,368,368,368,3.0,30.852367401123047,1.4,,2.0,4.0,7.0,9.0,0.8,,,0.0,18.0,0.0,0.9793650793650794,0.21,29.8,3.0,-95.557277,46.106096,1.0,13.2,10.0,,2010-07-01,0.0,0.0,1.6,7.3,2.2233333333333323,1.945454545454545,1.5385542168674695,1.0414790996784564,0.00038134298,0.00038134298,0.00038134298,0.00038134298,2.61552738369808e-05,2.4982315873781025e-05,2.377386462956509e-05,1.5982237264417003e-05,0.0,0.0,2.174027031287551e-05,3.0466311727650464e-05,4.33919376519043e-05,5.1029670430580154e-05,3.398484841454774e-05,3.6684075894299895e-05,2.2247877495829016e-05
35,35,35,501,501,501,6.0,5.53524923324585,1.58,46.0,2.0,1.5,6.7,92.0,21.6,2.0,,0.0,46.0,95.33333333333331,3.384126984126984,0.11,16.2,0.0,-100.505116,41.241843,1.0,6.7,,0.0,2010-07-05,21.6,21.6,21.6,21.6,4.961290322580645,3.4950819672131144,3.172527472527473,1.9404371584699456,4.0475596e-05,4.0475596e-05,7.508693e-05,7.508693e-05,2.247999778467969e-05,2.9527722154118155e-05,2.5177790761567168e-05,1.4955921602356014e-05,0.0,3.4750020859064534e-05,1.1583339983189944e-05,1.0029535587818827e-05,1.6802172467578202e-05,1.6909045370994136e-05,3.688561628223397e-05,2.8350483262329362e-05,1.4930802535673138e-05
36,36,36,256,256,256,1.0,29.03706169128418,1.5,38.0,1.0,3.5,5.3,28.0,9.4,,,0.0,18.0,74.66666666666667,0.9777777777777776,0.16,21.8,3.0,-85.907568,32.108515,1.0,9.099999,183.0,,2010-07-07,1.5,1.5,9.4,9.4,0.7548387096774194,1.0098360655737704,1.7879120879120878,3.7956284153005457,5.7243757e-05,5.7243757e-05,0.000101296886,0.00016268787,5.903408560822647e-05,4.195982340420806e-05,5.3373826928332455e-05,5.8982156289555264e-05,,0.00028190825833007693,0.00014610271318815649,9.804901492316276e-05,9.779659012565389e-05,5.05499447172042e-05,3.711787940119393e-05,2.9229015126475133e-05,4.717987394542433e-05
37,37,37,76,76,76,2.0,20.445188522338867,1.53,,2.0,5.5,4.5,92.0,3.6,0.0,0.0,0.0,20.0,0.0,0.2682539682539683,0.07,17.2,1.0,-77.518606,34.530604,1.0,5.500001,188.0,0.0,2010-07-15,34.1,34.1,34.1,34.1,2.5440000000000005,1.625,1.0733333333333333,2.6982578397212547,0.0001274151,0.0002826544,0.0002826544,0.0004099475,0.0001153582881383,9.594238330762166e-05,9.427752083292036e-05,6.442077473599507e-05,0.0,0.0,0.0,1.6865079714989406e-06,1.611992593097966e-05,2.653365118021611e-05,2.594335273897741e-05,3.622905205702409e-05,3.781827035709284e-05
